"model","factor","go_id","term","k","K","m","N","p","p_adj","genes"
"c = 1","k1","GO:0006119","oxidative phosphorylation",7,10,139,16769,2.7140035939704e-13,5.99794794267459e-11,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = 1","k1","GO:1902600","proton transmembrane transport",7,10,174,16769,1.34132180594653e-12,1.48216059557092e-10,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = 1","k1","GO:0019646","aerobic electron transport chain",6,10,86,16769,3.14787926281234e-12,2.25252556474377e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = 1","k1","GO:0042773","ATP synthesis coupled electron transport",6,10,93,16769,5.09621168494065e-12,2.25252556474377e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = 1","k1","GO:0042775","mitochondrial ATP synthesis coupled electron transport",6,10,93,16769,5.09621168494065e-12,2.25252556474377e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = 1","k1","GO:0022904","respiratory electron transport chain",6,10,108,16769,1.27542460485289e-11,4.69781396120813e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = 1","k1","GO:0022900","electron transport chain",6,10,118,16769,2.19177315598699e-11,6.91974096390177e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = 1","k1","GO:0009060","aerobic respiration",7,10,283,16769,4.16197211935814e-11,1.14974479797269e-09,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = 1","k1","GO:0045333","cellular respiration",7,10,320,16769,9.86439000896063e-11,2.422255768867e-09,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = 1","k1","GO:0015980","energy derivation by oxidation of organic compounds",7,10,405,16769,5.13302732607408e-10,1.13439903906237e-08,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = 1","k2","GO:0016115","terpenoid catabolic process",2,10,8,16769,8.94505701275741e-06,0.00181022184912058,"CYP26B1, CYP26A1"
"c = 1","k2","GO:0048387","negative regulation of retinoic acid receptor signaling pathway",2,10,9,16769,1.1497129250003e-05,0.00181022184912058,"CYP26B1, CYP26A1"
"c = 1","k2","GO:0090596","sensory organ morphogenesis",4,10,269,16769,1.26039165659461e-05,0.00181022184912058,"CYP26B1, KDR, HOXA1, STRA6"
"c = 1","k2","GO:0008300","isoprenoid catabolic process",2,10,10,16769,1.43668400723856e-05,0.00181022184912058,"CYP26B1, CYP26A1"
"c = 1","k2","GO:0042363","fat-soluble vitamin catabolic process",2,10,12,16769,2.10579620342793e-05,0.00212264257305536,"CYP26B1, CYP26A1"
"c = 1","k2","GO:0009111","vitamin catabolic process",2,10,14,16769,2.90159939268756e-05,0.00240902611894821,"CYP26B1, CYP26A1"
"c = 1","k2","GO:0033189","response to vitamin A",2,10,15,16769,3.34693428765339e-05,0.00240902611894821,"CYP26B1, CYP26A1"
"c = 1","k2","GO:0048385","regulation of retinoic acid receptor signaling pathway",2,10,16,16769,3.82385098245748e-05,0.00240902611894821,"CYP26B1, CYP26A1"
"c = 1","k2","GO:0042573","retinoic acid metabolic process",2,10,29,16769,0.000128839618905214,0.00721501865869196,"CYP26B1, CYP26A1"
"c = 1","k2","GO:0006953","acute-phase response",2,10,34,16769,0.000177744159420757,0.00817295920130251,"LCN2, SERPINA3"
"c = Inf","k1","GO:0006119","oxidative phosphorylation",7,10,139,16769,2.7140035939704e-13,5.99794794267459e-11,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = Inf","k1","GO:1902600","proton transmembrane transport",7,10,174,16769,1.34132180594653e-12,1.48216059557092e-10,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = Inf","k1","GO:0019646","aerobic electron transport chain",6,10,86,16769,3.14787926281234e-12,2.25252556474377e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = Inf","k1","GO:0042773","ATP synthesis coupled electron transport",6,10,93,16769,5.09621168494065e-12,2.25252556474377e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = Inf","k1","GO:0042775","mitochondrial ATP synthesis coupled electron transport",6,10,93,16769,5.09621168494065e-12,2.25252556474377e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = Inf","k1","GO:0022904","respiratory electron transport chain",6,10,108,16769,1.27542460485289e-11,4.69781396120813e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = Inf","k1","GO:0022900","electron transport chain",6,10,118,16769,2.19177315598699e-11,6.91974096390177e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = Inf","k1","GO:0009060","aerobic respiration",7,10,283,16769,4.16197211935814e-11,1.14974479797269e-09,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = Inf","k1","GO:0045333","cellular respiration",7,10,320,16769,9.86439000896063e-11,2.422255768867e-09,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = Inf","k1","GO:0015980","energy derivation by oxidation of organic compounds",7,10,405,16769,5.13302732607408e-10,1.13439903906237e-08,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = Inf","k2","GO:0006119","oxidative phosphorylation",7,10,139,16769,2.7140035939704e-13,7.00212927244364e-11,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = Inf","k2","GO:1902600","proton transmembrane transport",7,10,174,16769,1.34132180594653e-12,1.73030512967103e-10,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = Inf","k2","GO:0019646","aerobic electron transport chain",6,10,86,16769,3.14787926281234e-12,2.62964522942938e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = Inf","k2","GO:0042773","ATP synthesis coupled electron transport",6,10,93,16769,5.09621168494065e-12,2.62964522942938e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = Inf","k2","GO:0042775","mitochondrial ATP synthesis coupled electron transport",6,10,93,16769,5.09621168494065e-12,2.62964522942938e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = Inf","k2","GO:0022904","respiratory electron transport chain",6,10,108,16769,1.27542460485289e-11,5.48432580086741e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = Inf","k2","GO:0022900","electron transport chain",6,10,118,16769,2.19177315598699e-11,8.07824963206632e-10,"COX1, COX2, COX3, ND4, ND5, CYTB"
"c = Inf","k2","GO:0009060","aerobic respiration",7,10,283,16769,4.16197211935814e-11,1.342236008493e-09,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = Inf","k2","GO:0045333","cellular respiration",7,10,320,16769,9.86439000896063e-11,2.82779180256871e-09,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
"c = Inf","k2","GO:0015980","energy derivation by oxidation of organic compounds",7,10,405,16769,5.13302732607408e-10,1.32432105012711e-08,"COX1, COX2, ATP6, COX3, ND4, ND5, CYTB"
