"model","factor","go_id","term","size","ES","NES","p","p_adj","leading_edge"
"c = 1","k1","GO:0002181","cytoplasmic translation",205,0.62737457591867,2.54617138635234,8.08466106847759e-42,6.74018193278976e-38,"EEF2, CSDE1, PABPC1, RPL8, PKM, RPL13, RPL4, RPL13A, RPS3, RPLP0"
"c = 1","k1","GO:0006397","mRNA processing",479,0.438032156898197,1.83687018197314,1.38228038771432e-26,5.76203579618715e-23,"PABPC1, HNRNPA2B1, DDX5, HSPA8, SRRM2, NPM1, HNRNPK, NCL, HNRNPH1, HNRNPU"
"c = 1","k1","GO:0008380","RNA splicing",441,0.440200917121327,1.84229618064523,5.44849883758044e-26,1.5141378269636e-22,"PABPC1, HNRNPA2B1, TMBIM6, AHNAK, DDX5, HSPA8, SRRM2, NPM1, HNRNPK, NCL"
"c = 1","k1","GO:0022613","ribonucleoprotein complex biogenesis",457,0.411601320386997,1.72408006709606,1.58010657690582e-20,3.29333713291595e-17,"HSP90AA1, HSP90AB1, RPL13A, RPLP0, RPL7A, NPM1, RPS17, NMD3, RPS6, EIF4B"
"c = 1","k1","GO:0006403","RNA localization",197,0.503067339250781,2.03756047408379,9.52345079626766e-20,1.58794018576967e-16,"HNRNPA2B1, HNRNPU, HNRNPA1, SRSF1, KPNB1, YBX1, XPO1, PRPF6, RAN, CCT3"
"c = 1","k1","GO:0000375","RNA splicing, via transesterification reactions",303,0.4450231504788,1.84044661254336,1.28290458440291e-19,1.78259592002784e-16,"PABPC1, HNRNPA2B1, DDX5, HSPA8, SRRM2, NPM1, HNRNPK, NCL, HNRNPH1, HNRNPU"
"c = 1","k1","GO:0006417","regulation of translation",376,0.420638696826456,1.75247858635963,5.56394837106197e-19,6.0201306709487e-16,"EEF2, CSDE1, PABPC1, GAPDH, PKM, RPL13A, HSPB1, RPS3, RACK1, RPS6KB1"
"c = 1","k1","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",299,0.444022174930429,1.83546862974732,6.83757501792523e-19,6.0201306709487e-16,"PABPC1, HNRNPA2B1, DDX5, HSPA8, SRRM2, NPM1, HNRNPK, NCL, HNRNPH1, HNRNPU"
"c = 1","k1","GO:0000398","mRNA splicing, via spliceosome",299,0.444022174930429,1.83546862974732,6.83757501792523e-19,6.0201306709487e-16,"PABPC1, HNRNPA2B1, DDX5, HSPA8, SRRM2, NPM1, HNRNPK, NCL, HNRNPH1, HNRNPU"
"c = 1","k1","GO:0048193","Golgi vesicle transport",317,0.436365153870582,1.80700780414564,7.22097957412582e-19,6.0201306709487e-16,"KRT18, P4HB, RACK1, LLGL2, ATP9A, YWHAE, RAB1B, ARF3, VCP, SEC16A"
"c = 1","k2","GO:0002181","cytoplasmic translation",205,0.642411633979018,2.35759246013086,5.01182466015684e-39,4.17835821917276e-35,"ANG, PABPC1, RPLP1, EEF2, RPLP0, RPL13A, CSDE1, RPS3, RPL4, RPL8"
"c = 1","k2","GO:0022613","ribonucleoprotein complex biogenesis",457,0.462218418971219,1.7521317791182,7.00586180971638e-26,2.92039349538027e-22,"RPLP0, RPL13A, HSP90AB1, HSP90AA1, RPS19, RPS17, RPSA, RPS6, RPL7A, RPS21"
"c = 1","k2","GO:0008380","RNA splicing",441,0.447258218088311,1.69437918130631,1.33894896873147e-22,3.72093918410474e-19,"PABPC1, RBPMS, DDX5, PIK3R1, HNRNPA2B1, NPM1, HNRNPA1, YBX1, HSPA8, MBNL3"
"c = 1","k2","GO:0006397","mRNA processing",479,0.440311122754936,1.67151787136465,5.05414864531578e-22,1.05341093139994e-18,"ZFP36L1, PABPC1, RBPMS, DDX5, HNRNPA2B1, NPM1, HNRNPA1, YBX1, HSPA8, MBNL3"
"c = 1","k2","GO:0006417","regulation of translation",376,0.452841471371613,1.7049008056947,8.89381599808475e-20,1.48295487952065e-16,"ANG, BTG2, ZFP36L1, PABPC1, EEF2, TRIM71, GAPDH, RPL13A, CSDE1, BZW1"
"c = 1","k2","GO:0045333","cellular respiration",320,0.463080333072512,1.73499007890862,6.26340897842993e-19,8.44797498838557e-16,"UQCRQ, IDH1, ND4, CYTB, ATP6, COX3, ND2, ND5, COX2, GAPDH"
"c = 1","k2","GO:0015980","energy derivation by oxidation of organic compounds",405,0.435173282099828,1.64439672961417,7.09317799192743e-19,8.44797498838557e-16,"UQCRQ, IDH1, ND4, CYTB, ATP6, COX3, ND2, ND5, COX2, GAPDH"
"c = 1","k2","GO:0042254","ribosome biogenesis",312,0.457695848690472,1.71379689670371,2.41024918758462e-17,2.51178093461162e-14,"RPLP0, RPS19, RPS17, RPSA, RPS6, RPL7A, RPS21, RPS14, EIF5, RPL7"
"c = 1","k2","GO:0006413","translational initiation",154,0.54240108688342,1.95659965805434,7.87719567481458e-17,7.2969089267699e-14,"RPL13A, CSDE1, BZW1, RPS3, RPS6KB1, RPS17, EIF4G1, EIF4G2, EIF5, NPM1"
"c = 1","k2","GO:0000375","RNA splicing, via transesterification reactions",303,0.452712814842463,1.69298622437406,9.73644906026816e-17,8.11727758154556e-14,"PABPC1, RBPMS, DDX5, HNRNPA2B1, NPM1, HNRNPA1, HSPA8, SRRM2, HNRNPK, NCL"
"c = 1","k3","GO:0002181","cytoplasmic translation",205,0.603141237226113,2.10650174653791,2.92410959430574e-27,2.43783016877269e-23,"PRKAA2, IGF2BP1, NMNAT2, EEF2, PABPC1, CSDE1, RPS3, RPL13A, RPL4, RPL13"
"c = 1","k3","GO:0007264","small GTPase-mediated signal transduction",488,0.439068093653952,1.5838807613911,5.03369816548775e-18,2.09829708028357e-14,"DOCK4, RASGRP1, RND1, TGM2, TGFB2, RGL1, DLC1, MAP4K4, ARHGDIB, ADGRG1"
"c = 1","k3","GO:0043068","positive regulation of programmed cell death",499,0.427204038751,1.54179379913865,4.20674153268791e-16,1.16905347193397e-12,"TP63, MMP9, SOX4, BMF, THBS1, TGM2, CAMK1D, ALDH1A3, TGFB2, DLC1"
"c = 1","k3","GO:0043065","positive regulation of apoptotic process",484,0.426641565185279,1.53894818468248,1.09296246251284e-15,2.2780070124924e-12,"TP63, MMP9, SOX4, BMF, THBS1, TGM2, CAMK1D, ALDH1A3, TGFB2, DLC1"
"c = 1","k3","GO:0045785","positive regulation of cell adhesion",445,0.429932612974882,1.54671859193907,2.05856276569665e-15,3.43244755552259e-12,"SOX4, RASGRP1, TGM2, FSTL3, TGFB2, HLA-DQA1, SMAD3, EPHA4, CHRD, MAP4K4"
"c = 1","k3","GO:0030335","positive regulation of cell migration",498,0.42343689947108,1.52812752738341,2.91567943692764e-15,4.05133657761095e-12,"DOCK4, SEMA5B, MMP9, SERPINE1, SEMA7A, THBS1, CAMK1D, TGFB2, SMAD3, EPHA4"
"c = 1","k3","GO:0006417","regulation of translation",376,0.4372320149069,1.56625986696682,4.84854366600818e-14,5.77461550621575e-11,"THBS1, EPHA4, ITGA2, ZFP36L1, PRKAA2, IGF2BP1, IGFBP5, LARP6, DIO2, NMNAT2"
"c = 1","k3","GO:0022613","ribonucleoprotein complex biogenesis",457,0.422869864676951,1.52207642682809,8.92666635892783e-14,9.30270217929766e-11,"RPL13A, RPL7A, RPS11, RPS17, EIF3E, RPS4X, EIF4B, RPLP0, RPS15A, RPL7"
"c = 1","k3","GO:0032970","regulation of actin filament-based process",363,0.438639171433511,1.57031376622805,1.41164419994226e-13,1.30765307721318e-10,"RND1, TGFB2, FSCN1, SMAD3, DLC1, HCN4, PAK3, PHLDB2, PTGER4, FLNA"
"c = 1","k3","GO:0043254","regulation of protein-containing complex assembly",414,0.426109498420954,1.5304675372636,2.36131498079106e-13,1.96862829948551e-10,"BMF, FSCN1, MAP1B, FBLIM1, PAK3, PTGER4, PIEZO1, ULK1, BIK, SPTBN2"
"c = Inf","k1","GO:0002181","cytoplasmic translation",205,0.849663495671956,1.46252228887572,9.10589205168643e-09,7.59158220349098e-05,"EEF2, CSDE1, PABPC1, RPL8, PKM, RPL13, RPL4, RPL13A, RPS3, RPLP0"
"c = Inf","k1","GO:0015980","energy derivation by oxidation of organic compounds",405,0.771969441873535,1.33507086580897,4.04364579148972e-08,0.000168559374818249,"COX1, ND4, ND5, ATP6, CYTB, COX2, COX3, ND2, ND6, ND1"
"c = Inf","k1","GO:0045333","cellular respiration",320,0.79293007188448,1.37080732504254,1.35947462494169e-07,0.000377797998271295,"COX1, ND4, ND5, ATP6, CYTB, COX2, COX3, ND2, ND6, ND1"
"c = Inf","k1","GO:0006091","generation of precursor metabolites and energy",463,0.761323785164445,1.31815404583466,1.97070093383562e-07,0.000377899457139166,"COX1, ND4, ND5, ATP6, CYTB, COX2, COX3, ND2, ND6, ND1"
"c = Inf","k1","GO:0070482","response to oxygen levels",327,0.789468988882367,1.36448932366422,2.2663995270431e-07,0.000377899457139166,"COX1, ND4, ND5, ATP6, CYTB, COX2, ND2, ND1, ENO1, CD24"
"c = Inf","k1","GO:0009060","aerobic respiration",283,0.799949319841063,1.38222908226262,4.72546499130408e-07,0.000656603360541702,"COX1, ND4, ND5, ATP6, CYTB, COX2, COX3, ND2, ND6, ND1"
"c = Inf","k1","GO:0036293","response to decreased oxygen levels",302,0.787621057558652,1.36113626269886,6.59857880528546e-07,0.000785890735709498,"COX1, ND4, ND5, CYTB, COX2, ND2, ND1, ENO1, CD24, TMBIM6"
"c = Inf","k1","GO:0001666","response to hypoxia",289,0.791779345645007,1.36810707191109,1.15510845364701e-06,0.00120376739725689,"COX1, ND4, ND5, CYTB, COX2, ND2, ND1, ENO1, CD24, TMBIM6"
"c = Inf","k1","GO:1902600","proton transmembrane transport",174,0.830419312874234,1.42563925379679,1.90890010090699e-06,0.00176827779347351,"COX1, ND4, ND5, ATP6, CYTB, COX2, COX3, ND2, ND6, ND1"
"c = Inf","k1","GO:0045471","response to ethanol",107,0.864372405728208,1.46560688149637,4.52792460244858e-06,0.00377493074106138,"ND4, CYTB, COX2, EEF2, GATA3, CCND1, RPS6, SREBF1, G6PD, RPL10A"
"c = Inf","k2","GO:0002181","cytoplasmic translation",205,0.868829934440914,1.47807659568225,5.99679933526509e-13,4.9995316058105e-09,"PABPC1, EEF2, CSDE1, RPL8, RPL13A, RPLP0, RPL13, PKM, RPL4, RPS3"
"c = Inf","k2","GO:0006091","generation of precursor metabolites and energy",463,0.766289169214079,1.31858857945896,2.3037973062809e-10,9.60337907123194e-07,"ND4, CYTB, ATP6, ND5, COX1, COX2, COX3, ND2, GAPDH, ND1"
"c = Inf","k2","GO:0045333","cellular respiration",320,0.792555153625468,1.35616610304939,1.96639603081597e-09,4.96478484033585e-06,"ND4, CYTB, ATP6, ND5, COX1, COX2, COX3, ND2, GAPDH, ND1"
"c = Inf","k2","GO:0009060","aerobic respiration",283,0.800085112238645,1.36650370271758,2.38204862196754e-09,4.96478484033585e-06,"ND4, CYTB, ATP6, ND5, COX1, COX2, COX3, ND2, GAPDH, ND1"
"c = Inf","k2","GO:0015980","energy derivation by oxidation of organic compounds",405,0.773509300298253,1.32880511019396,3.02151617724456e-09,5.03807607393759e-06,"ND4, CYTB, ATP6, ND5, COX1, COX2, COX3, ND2, GAPDH, ND1"
"c = Inf","k2","GO:0097305","response to alcohol",237,0.812410122173591,1.38572875608105,6.7810291011593e-09,9.42223993606084e-06,"ND4, CYTB, COX2, EEF2, GNAS, GATA3, CDH1, RPS6, CCND1, G6PD"
