"model","factor","go_id","term","k","K","m","N","p","p_adj","genes"
"c = 1","k1","GO:0016486","peptide hormone processing",6,49,32,17359,3.15787677720489e-10,4.62313160182796e-07,"Scg5, Pcsk2, Pcsk1n, Ins2, Cpe, Ero1lb"
"c = 1","k1","GO:0140448","signaling receptor ligand precursor processing",6,49,36,17359,6.73012797834394e-10,4.92645368014776e-07,"Scg5, Pcsk2, Pcsk1n, Ins2, Cpe, Ero1lb"
"c = 1","k1","GO:0030070","insulin processing",4,49,11,17359,1.82199150631237e-08,8.89131855080434e-06,"Pcsk2, Ins2, Cpe, Ero1lb"
"c = 1","k1","GO:0034976","response to endoplasmic reticulum stress",9,49,277,17359,6.92497017736868e-08,2.53453908491694e-05,"Hspa5, Sec61b, Ins2, Eef2, Calr, Selenok, Manf, Pdia6, Sdf2l1"
"c = 1","k1","GO:0006457","protein folding",7,49,171,17359,4.8259932178139e-07,0.000139339586485715,"Hspa5, Calr, Hspa8, Ppia, Ero1lb, Sdf2l1, Hsp90ab1"
"c = 1","k1","GO:1901142","insulin metabolic process",4,49,24,17359,5.71063879039817e-07,0.000139339586485715,"Pcsk2, Ins2, Cpe, Ero1lb"
"c = 1","k1","GO:0031204","post-translational protein targeting to membrane, translocation",3,49,8,17359,1.17193678461493e-06,0.000245102207525179,"Hspa5, Sec61b, Sec61g"
"c = 1","k1","GO:0065002","intracellular protein transmembrane transport",4,49,33,17359,2.15844957837208e-06,0.00039499627284209,"Hspa5, Sec61b, Hspa8, Sec61g"
"c = 1","k1","GO:0002679","respiratory burst involved in defense response",3,49,12,17359,4.5675595940675e-06,0.000742989693968313,"Ins2, Selenok, Ins1"
"c = 1","k1","GO:0006620","post-translational protein targeting to endoplasmic reticulum membrane",3,49,18,17359,1.67406394756914e-05,0.00245082961924122,"Hspa5, Sec61b, Sec61g"
"c = 1","k2","GO:0016486","peptide hormone processing",7,50,32,17359,3.38301228988042e-12,5.87967535981217e-09,"Scg5, Pcsk2, Pcsk1n, Ins2, Cpe, Ctsl, Slc30a8"
"c = 1","k2","GO:0140448","signaling receptor ligand precursor processing",7,50,36,17359,8.3176627401452e-12,7.22804892118618e-09,"Scg5, Pcsk2, Pcsk1n, Ins2, Cpe, Ctsl, Slc30a8"
"c = 1","k2","GO:0042445","hormone metabolic process",9,50,209,17359,7.3122131872425e-09,4.23620883980916e-06,"Scg5, Pcsk2, Pcsk1n, Spp1, Ins2, Cpe, Ctsl, Slc30a8, Rbp4"
"c = 1","k2","GO:0016485","protein processing",9,50,220,17359,1.14325961610533e-08,4.96746303197766e-06,"Scg5, Pcsk2, Mafb, Ctsz, Pcsk1n, Ins2, Cpe, Ctsl, Slc30a8"
"c = 1","k2","GO:0030070","insulin processing",4,50,11,17359,1.97978552501549e-08,6.88173448495384e-06,"Pcsk2, Ins2, Cpe, Slc30a8"
"c = 1","k2","GO:0046879","hormone secretion",10,50,364,17359,7.07681307362926e-08,2.04991685366128e-05,"Gcg, Scg5, Gnas, Tmem27, Spp1, Vgf, Cpe, Chga, Slc30a8, Rbp4"
